Time Energy_LWR_A	Energy_LWR_B	Energy_SFR_A	Energy_SFR_B	FreshFuel_LWR_A	FreshFuel_LWR_B	FreshFuel_SFR_A	FreshFuel_SFR_B	Separation_LWR	Separation_SFR_A	Separation_SFR_B	Cooling_LWR_A	Cooling_LWR_B	Cooling_SFR_A	Cooling_SFR_B	Separation_LWR_A	Separation_LWR_B	Separation_SFR_A	Separation_SFR_B	EnrichFeed	EnrichSWU
2051 42300 84600 720 0 1.33047e+06 2.1731e+06 15048 0 2.49833e+06 0 0 8.91415e+06 1.11316e+07 0 0 0 0 0 0 2.98265e+07 2.20212e+07
2052 40500 87300 720 0 620886 2.38006e+06 15048 0 2.49833e+06 0 0 9.23938e+06 1.16638e+07 15048 0 0 0 0 0 2.55476e+07 1.88621e+07
2053 37800 91800 720 0 591320 2.30615e+06 15048 0 3.50357e+06 0 0 8.175e+06 1.21516e+07 30096 0 0 0 0 0 2.46666e+07 1.82117e+07
2054 36000 94500 720 0 1.09394e+06 2.58702e+06 15048 0 2.54268e+06 0 0 7.83499e+06 1.26986e+07 45144 0 0 0 0 0 3.13367e+07 2.31362e+07
2055 33300 99000 720 0 517405 2.33571e+06 90288 0 2.67572e+06 0 0 8.20456e+06 1.32456e+07 60192 0 0 0 0 0 2.42891e+07 1.79329e+07
2056 31500 100800 1440 0 473056 2.70529e+06 30096 0 3.44444e+06 0 0 7.09584e+06 1.37186e+07 75240 0 0 0 0 0 2.70578e+07 1.99771e+07
2057 28800 105300 1440 0 886980 2.63137e+06 30096 0 2.72007e+06 0 0 6.91844e+06 1.42656e+07 105336 0 0 0 0 0 2.99523e+07 2.21142e+07
2058 27000 108000 1440 0 399141 2.72007e+06 105336 0 2.72007e+06 15048 0 7.02192e+06 1.48126e+07 135432 0 0 0 0 0 2.65544e+07 1.96054e+07
2059 24300 111600 2160 0 369575 2.85312e+06 45144 0 3.50357e+06 15048 0 6.17929e+06 1.52708e+07 150480 0 0 0 0 0 2.74353e+07 2.02558e+07
2060 22500 115200 2160 0 650452 2.83834e+06 120384 0 2.7792e+06 15048 0 5.83928e+06 1.58326e+07 180576 0 0 0 0 0 2.97006e+07 2.19283e+07
2061 19800 117900 2880 0 295660 2.94182e+06 45144 0 2.89747e+06 15048 0 5.98712e+06 1.63648e+07 210672 0 0 0 0 0 2.75612e+07 2.03487e+07
2062 18000 121500 2880 0 251311 3.07486e+06 135432 0 3.45922e+06 15048 0 5.10014e+06 1.68083e+07 255816 0 0 0 0 0 2.83163e+07 2.09062e+07
2063 15300 125100 3600 0 443490 3.0453e+06 75240 0 2.92703e+06 30096 0 4.92274e+06 1.737e+07 285912 0 0 0 0 0 2.97006e+07 2.19283e+07
2064 13500 127800 3600 0 177396 3.16356e+06 150480 0 2.9566e+06 30096 0 4.80448e+06 1.78874e+07 331056 0 0 0 0 0 2.84421e+07 2.09992e+07
2065 10800 131400 4320 0 147830 3.29661e+06 90288 0 3.51835e+06 30096 0 4.18359e+06 1.83309e+07 376200 0 0 0 0 0 2.93231e+07 2.16496e+07
2066 9000 135000 4320 0 206962 3.25226e+06 150480 0 2.97138e+06 30096 0 3.84358e+06 1.89075e+07 436392 0 0 0 0 0 2.94489e+07 2.17425e+07
2067 6300 137700 5040 0 73915 3.38531e+06 105336 0 3.14878e+06 45144 0 3.76966e+06 1.93953e+07 481536 0 0 0 0 0 2.94489e+07 2.17425e+07
2068 4500 141300 5040 0 29566 3.51835e+06 180576 0 3.41487e+06 60192 0 3.10443e+06 1.98536e+07 526680 0 0 0 15048 0 3.0204e+07 2.23e+07
2069 1800 144900 5760 0 0 3.45922e+06 180576 0 3.16356e+06 60192 0 2.92703e+06 2.04301e+07 586872 0 0 0 0 0 2.94489e+07 2.17425e+07
2070 0 147600 6480 0 0 3.29661e+06 210672 0 3.17834e+06 75240 0 2.58702e+06 2.09032e+07 647064 0 0 0 0 0 2.80646e+07 2.07204e+07
2071 0 148500 7200 0 0 3.38531e+06 210672 0 3.48879e+06 60192 0 1.96614e+06 2.13319e+07 692208 0 0 0 0 0 2.88197e+07 2.12779e+07
2072 0 149400 7920 0 0 3.37052e+06 240768 0 3.19313e+06 90288 0 1.52265e+06 2.18197e+07 767448 0 0 0 0 0 2.86938e+07 2.1185e+07
2073 0 150300 8640 0 0 3.35574e+06 203148 0 3.37052e+06 90288 0 1.19742e+06 2.21597e+07 827640 0 0 0 15048 0 2.8568e+07 2.10921e+07
2074 0 151200 9000 0 0 3.44444e+06 248292 0 3.38531e+06 90288 0 724367 2.24406e+07 932976 0 0 0 0 0 2.93231e+07 2.16496e+07
2075 0 152100 9720 0 0 3.42966e+06 263340 0 3.38531e+06 105336 0 473056 2.27658e+07 1.00069e+06 0 0 0 0 0 2.91972e+07 2.15567e+07
2076 0 153000 10440 0 0 3.41487e+06 293436 0 3.40009e+06 105336 0 177396 2.29432e+07 1.08346e+06 0 0 0 15048 0 2.90714e+07 2.14637e+07
2077 0 153900 11160 0 0 3.50357e+06 293436 0 3.23748e+06 135432 0 0 2.30763e+07 1.18127e+06 0 0 0 0 0 2.98265e+07 2.20212e+07
2078 0 154800 11880 0 0 3.48879e+06 323532 0 3.22269e+06 135432 0 0 2.32832e+07 1.27908e+06 0 0 0 15048 0 2.97006e+07 2.19283e+07
2079 0 155700 12600 0 0 3.474e+06 346104 0 3.31139e+06 150480 0 0 2.33867e+07 1.37689e+06 0 0 0 0 0 2.95748e+07 2.18354e+07
2080 0 156600 13680 0 0 3.45922e+06 421344 0 3.29661e+06 165528 0 0 2.34902e+07 1.4747e+06 0 0 0 15048 0 2.94489e+07 2.17425e+07
2081 0 156600 15120 0 0 3.42966e+06 489060 0 3.28183e+06 188100 0 0 2.36824e+07 1.56499e+06 0 0 0 15048 0 2.91972e+07 2.15567e+07
2082 0 156600 16920 0 0 3.40009e+06 511632 0 3.37052e+06 188100 0 0 2.37563e+07 1.6929e+06 0 0 0 15048 0 2.89455e+07 2.13708e+07
2083 0 156600 18720 0 0 3.45922e+06 564300 0 3.35574e+06 218196 0 0 2.38154e+07 1.84338e+06 0 0 0 0 0 2.94489e+07 2.17425e+07
2084 0 156600 20520 0 0 3.42966e+06 594396 0 3.34096e+06 203148 0 0 2.39485e+07 1.98634e+06 0 0 0 15048 0 2.91972e+07 2.15567e+07
2085 0 156600 22320 0 0 3.40009e+06 639540 0 3.42966e+06 233244 0 0 2.39632e+07 2.18196e+06 0 0 0 0 0 2.89455e+07 2.13708e+07
2086 0 156600 24120 0 0 3.45922e+06 662112 0 3.41487e+06 248292 0 0 2.39632e+07 2.37758e+06 0 0 0 30096 0 2.94489e+07 2.17425e+07
2087 0 156600 25920 0 0 3.42966e+06 699732 0 3.40009e+06 255816 0 0 2.40372e+07 2.6334e+06 0 0 0 15048 0 2.91972e+07 2.15567e+07
2088 0 156600 27720 0 0 3.40009e+06 737352 0 3.45922e+06 300960 0 0 2.40076e+07 2.87417e+06 0 0 0 15048 0 2.89455e+07 2.13708e+07
2089 0 156600 29520 0 0 3.45922e+06 790020 0 3.42966e+06 331056 0 0 2.3978e+07 3.12246e+06 0 0 0 30096 0 2.94489e+07 2.17425e+07
2090 0 156600 31320 0 0 3.42966e+06 842688 0 3.40009e+06 376200 0 0 2.40372e+07 3.3858e+06 0 0 0 15048 0 2.91972e+07 2.15567e+07
2091 0 156600 33480 0 0 3.40009e+06 857736 0 3.45922e+06 398772 0 0 2.40076e+07 3.64914e+06 0 0 0 22572 0 2.89455e+07 2.13708e+07
2092 0 156600 35280 0 0 3.45922e+06 857736 0 3.42966e+06 436392 0 0 2.3978e+07 3.90496e+06 0 0 0 15048 0 2.94489e+07 2.17425e+07
2093 0 156600 37080 0 0 3.42966e+06 948024 0 3.40009e+06 474012 0 0 2.40372e+07 4.16077e+06 0 0 0 30096 0 2.91972e+07 2.15567e+07
2094 0 156600 39240 0 0 3.40009e+06 955548 0 3.45922e+06 526680 0 0 2.40076e+07 4.39402e+06 0 0 0 30096 0 2.89455e+07 2.13708e+07
2095 0 156600 41040 0 0 3.45922e+06 978120 0 3.42966e+06 541728 0 0 2.3978e+07 4.64983e+06 0 0 0 30096 0 2.94489e+07 2.17425e+07
2096 0 156600 42840 0 0 3.41487e+06 1.14365e+06 0 3.40009e+06 586872 0 0 2.41259e+07 4.90565e+06 0 0 0 15048 0 2.90714e+07 2.14637e+07
2097 0 155700 45720 0 0 3.35574e+06 1.19632e+06 0 3.45922e+06 586872 0 0 2.41702e+07 5.13137e+06 0 0 0 37620 0 2.8568e+07 2.10921e+07
2098 0 154800 48600 0 0 3.40009e+06 1.30165e+06 0 3.42966e+06 647064 0 0 2.4185e+07 5.41728e+06 0 0 0 30096 0 2.89455e+07 2.13708e+07
2099 0 153900 51840 0 0 3.35574e+06 1.3167e+06 0 3.40009e+06 684684 0 0 2.42737e+07 5.70319e+06 0 0 0 67716 0 2.8568e+07 2.10921e+07
2100 0 153000 54720 0 0 3.29661e+06 1.41451e+06 0 3.45922e+06 707256 0 0 2.42589e+07 6.06434e+06 0 0 0 52668 0 2.80646e+07 2.07204e+07
2101 0 152100 57960 0 0 3.34096e+06 1.39946e+06 0 3.42966e+06 767448 0 0 2.42146e+07 6.41797e+06 0 0 0 52668 0 2.84421e+07 2.09992e+07
2102 0 151200 60480 0 0 3.29661e+06 1.54994e+06 0 3.40009e+06 797544 0 0 2.42441e+07 6.79417e+06 0 0 0 67716 0 2.80646e+07 2.07204e+07
2103 0 150300 63720 0 0 3.23748e+06 1.59509e+06 0 3.53314e+06 842688 0 0 2.41702e+07 7.19294e+06 0 0 0 52668 0 2.75612e+07 2.03487e+07
2104 0 149400 66960 0 0 3.28183e+06 1.62518e+06 0 3.48879e+06 887832 0 0 2.39928e+07 7.62934e+06 0 0 0 60192 0 2.79387e+07 2.06275e+07
2105 0 148500 69840 0 0 3.23748e+06 1.65528e+06 0 3.42966e+06 948024 0 0 2.39189e+07 8.0582e+06 0 0 0 52668 0 2.75612e+07 2.03487e+07
2106 0 147600 72720 0 0 3.16356e+06 1.881e+06 0 3.474e+06 1.00822e+06 0 0 2.3845e+07 8.47955e+06 0 0 0 67716 0 2.69319e+07 1.98842e+07
2107 0 145800 77040 0 0 3.19313e+06 1.79824e+06 0 3.42966e+06 1.09098e+06 0 0 2.36528e+07 8.87832e+06 0 0 0 67716 0 2.71836e+07 2.007e+07
2108 0 144900 79920 0 0 3.16356e+06 1.91862e+06 0 3.37052e+06 1.13612e+06 0 0 2.35493e+07 9.32224e+06 0 0 0 75240 0 2.69319e+07 1.98842e+07
2109 0 144000 83520 0 0 3.10443e+06 1.92614e+06 0 3.41487e+06 1.18879e+06 0 0 2.33719e+07 9.74358e+06 0 0 0 52668 0 2.64285e+07 1.95125e+07
2110 0 143100 86400 0 0 3.08965e+06 2.2873e+06 0 3.37052e+06 1.22641e+06 0 0 2.34458e+07 1.01499e+07 0 0 0 75240 0 2.63027e+07 1.94196e+07
2111 0 139500 92160 0 0 2.98617e+06 2.33244e+06 0 3.31139e+06 1.30918e+06 0 0 2.34754e+07 1.05787e+07 0 0 0 75240 0 2.54217e+07 1.87692e+07
2112 0 136800 97200 0 0 2.89747e+06 2.51302e+06 0 3.35574e+06 1.3468e+06 0 0 2.34458e+07 1.10603e+07 0 0 0 105336 0 2.46666e+07 1.82117e+07
2113 0 133200 102960 0 0 2.8679e+06 2.65597e+06 0 3.38531e+06 1.39194e+06 0 0 2.33719e+07 1.16171e+07 0 0 0 90288 0 2.44149e+07 1.80258e+07
2114 0 129600 109080 0 0 2.74964e+06 2.77636e+06 0 3.23748e+06 1.48975e+06 0 0 2.32537e+07 1.2219e+07 0 0 0 112860 0 2.34081e+07 1.72825e+07
2115 0 126000 115200 0 0 2.67572e+06 2.8215e+06 0 3.26704e+06 1.54994e+06 0 0 2.29876e+07 1.2866e+07 0 0 0 127908 0 2.27789e+07 1.68179e+07
2116 0 123300 120240 0 0 2.66094e+06 2.9795e+06 0 3.23748e+06 1.62518e+06 0 0 2.27658e+07 1.35883e+07 0 0 0 120384 0 2.2653e+07 1.6725e+07
2117 0 119700 126000 0 0 2.54268e+06 3.03217e+06 0 3.40009e+06 1.68538e+06 0 0 2.24997e+07 1.43633e+07 0 0 0 120384 0 2.16462e+07 1.59817e+07
2118 0 117000 131400 0 0 2.45398e+06 3.29551e+06 0 3.31139e+06 1.79071e+06 0 0 2.20415e+07 1.51759e+07 0 0 0 120384 0 2.08911e+07 1.54242e+07
2119 0 112500 138240 0 0 2.42441e+06 3.28799e+06 0 3.28183e+06 1.88852e+06 0 0 2.15093e+07 1.59509e+07 0 0 0 120384 0 2.06394e+07 1.52383e+07
2120 0 109800 143640 0 0 2.32093e+06 3.46856e+06 0 3.19313e+06 2.039e+06 0 0 2.10362e+07 1.67635e+07 0 0 0 135432 0 1.97585e+07 1.45879e+07
2121 0 106200 149760 0 0 2.23223e+06 3.52123e+06 0 3.16356e+06 2.14434e+06 0 0 2.04892e+07 1.75836e+07 0 0 0 142956 0 1.90034e+07 1.40304e+07
2122 0 102600 155880 0 0 2.18788e+06 3.67171e+06 0 2.97138e+06 2.24215e+06 0 0 1.99718e+07 1.84037e+07 0 0 0 112860 0 1.86258e+07 1.37517e+07
2123 0 99000 162000 0 0 2.09919e+06 3.70933e+06 0 2.97138e+06 2.34749e+06 0 0 1.9484e+07 1.91185e+07 0 0 0 135432 0 1.78707e+07 1.31942e+07
2124 0 96300 167400 0 0 2.02527e+06 3.88991e+06 0 2.88268e+06 2.46787e+06 0 0 1.89222e+07 1.9901e+07 0 0 0 165528 0 1.72415e+07 1.27296e+07
2125 0 92700 173520 0 0 1.96614e+06 4.01782e+06 0 2.91225e+06 2.57321e+06 0 0 1.84935e+07 2.0691e+07 0 0 0 165528 0 1.67381e+07 1.23579e+07
2126 0 89100 179640 0 0 1.86266e+06 4.19087e+06 0 2.67572e+06 2.64092e+06 0 0 1.7917e+07 2.14885e+07 0 0 0 165528 0 1.58571e+07 1.17075e+07
2127 0 85500 186120 0 0 1.80353e+06 4.19087e+06 0 2.72007e+06 2.77636e+06 0 0 1.73552e+07 2.2271e+07 0 0 0 173052 0 1.53537e+07 1.13358e+07
2128 0 82800 191520 0 0 1.74439e+06 4.52945e+06 0 2.61659e+06 2.88922e+06 0 0 1.69265e+07 2.30912e+07 0 0 0 248292 0 1.48503e+07 1.09642e+07
2129 0 78300 198720 0 0 1.62613e+06 4.43916e+06 0 2.52789e+06 3.0096e+06 0 0 1.635e+07 2.39489e+07 0 0 0 225720 0 1.38435e+07 1.02208e+07
2130 0 75600 204120 0 0 1.58178e+06 4.72507e+06 0 2.40963e+06 3.13751e+06 0 0 1.57882e+07 2.49195e+07 0 0 0 240768 0 1.3466e+07 9.94208e+06
2131 0 72000 210600 0 0 1.53743e+06 4.6724e+06 0 2.39485e+06 3.25789e+06 0 0 1.52708e+07 2.57471e+07 0 0 0 248292 0 1.30884e+07 9.66333e+06
2132 0 69300 216000 0 0 1.40438e+06 5.01098e+06 0 2.32093e+06 3.36323e+06 0 0 1.48717e+07 2.66199e+07 0 0 0 248292 0 1.19558e+07 8.82708e+06
2133 0 64800 223560 0 0 1.34525e+06 4.93574e+06 0 2.2618e+06 3.52876e+06 0 0 1.42212e+07 2.74626e+07 0 0 0 240768 0 1.14524e+07 8.45541e+06
2134 0 62100 228960 0 0 1.3009e+06 5.21413e+06 0 2.0844e+06 3.61152e+06 0 0 1.37925e+07 2.83279e+07 0 0 0 263340 0 1.10748e+07 8.17666e+06
2135 0 57600 236520 0 0 1.18264e+06 5.17651e+06 0 2.1731e+06 3.72438e+06 0 0 1.32012e+07 2.92608e+07 0 0 0 225720 0 1.0068e+07 7.43333e+06
2136 0 55800 241560 0 0 1.13829e+06 5.43233e+06 0 1.96614e+06 3.85981e+06 0 0 1.26395e+07 3.00509e+07 0 0 0 278388 0 9.69046e+06 7.15458e+06
2137 0 51300 248760 0 0 1.07916e+06 5.41728e+06 0 1.92179e+06 4.03286e+06 0 0 1.21516e+07 3.0871e+07 0 0 0 278388 0 9.18706e+06 6.78291e+06
2138 0 48600 254520 0 0 960895 5.69567e+06 0 1.80353e+06 4.10058e+06 0 0 1.1649e+07 3.17287e+07 0 0 0 293436 0 8.18026e+06 6.03958e+06
2139 0 45000 261000 0 0 916546 5.79348e+06 0 1.90701e+06 4.15325e+06 0 0 1.11612e+07 3.25413e+07 0 0 0 293436 0 7.80271e+06 5.76083e+06
2140 0 41400 267840 0 0 857414 5.88377e+06 0 1.62613e+06 4.31878e+06 0 0 1.04959e+07 3.34893e+07 0 0 0 300960 0 7.29931e+06 5.38916e+06
2141 0 38700 273600 0 0 753933 6.0192e+06 0 1.71483e+06 4.41659e+06 0 0 1.00968e+07 3.43245e+07 0 0 0 361152 0 6.41836e+06 4.73875e+06
2142 0 35100 280080 0 0 694801 6.2374e+06 0 1.44873e+06 4.61974e+06 0 0 9.46112e+06 3.53177e+07 0 0 0 353628 0 5.91496e+06 4.36708e+06
2143 0 31500 286920 0 0 635669 6.16216e+06 0 1.55222e+06 4.68745e+06 0 0 9.06198e+06 3.61302e+07 0 0 0 368676 0 5.41156e+06 3.99541e+06
2144 0 28800 292680 0 0 546971 6.50074e+06 0 1.36004e+06 4.82288e+06 0 0 8.47066e+06 3.71309e+07 0 0 0 383724 0 4.65646e+06 3.43791e+06
2145 0 25200 299520 0 0 473056 6.52331e+06 0 1.37482e+06 5.00346e+06 0 0 8.02717e+06 3.79812e+07 0 0 0 361152 0 4.0272e+06 2.97333e+06
2146 0 21600 306360 0 0 413924 6.68131e+06 0 1.25656e+06 5.0787e+06 0 0 7.45063e+06 3.88916e+07 0 0 0 376200 0 3.5238e+06 2.60166e+06
2147 0 18900 312480 0 0 340009 6.74903e+06 0 1.13829e+06 5.2668e+06 0 0 6.94801e+06 3.97643e+07 0 0 0 376200 0 2.89455e+06 2.13708e+06
2148 0 15300 319320 0 0 251311 7.01237e+06 0 1.15307e+06 5.28185e+06 0 0 6.5193e+06 4.06672e+07 0 0 0 376200 0 2.13945e+06 1.57958e+06
2149 0 11700 326520 0 0 192179 6.98227e+06 0 1.04959e+06 5.52262e+06 0 0 5.92798e+06 4.15626e+07 0 0 0 391248 0 1.63605e+06 1.20792e+06
2150 0 9000 332280 0 0 177396 6.96722e+06 0 916546 5.54519e+06 0 0 5.15927e+06 4.24504e+07 0 0 0 436392 0 1.5102e+06 1.115e+06
2151 0 8100 336960 0 0 162613 7.07256e+06 0 931329 5.75586e+06 0 0 4.5236e+06 4.33909e+07 0 0 0 391248 0 1.38435e+06 1.02208e+06
2152 0 7200 341280 0 0 133047 7.17037e+06 0 842631 5.76338e+06 0 0 3.87315e+06 4.41809e+07 0 0 0 451440 0 1.13265e+06 836249
2153 0 6300 345960 0 0 118264 7.19294e+06 0 694801 5.9891e+06 0 0 3.26704e+06 4.50462e+07 0 0 0 421344 0 1.0068e+06 743333
2154 0 5400 350280 0 0 103481 7.3359e+06 0 709584 6.02672e+06 0 0 2.79399e+06 4.57911e+07 0 0 0 496584 0 880951 650416
2155 0 4500 354600 0 0 73915 7.42619e+06 0 635669 6.2073e+06 0 0 2.29136e+06 4.66187e+07 0 0 0 474012 0 629251 464583
2156 0 3600 359280 0 0 59132 7.44124e+06 0 473056 6.40292e+06 0 0 1.84788e+06 4.73335e+07 0 0 0 504108 0 503401 371666
2157 0 2700 363600 0 0 44349 7.62934e+06 0 266094 6.49321e+06 0 0 1.53743e+06 4.79881e+07 0 0 0 526680 0 377550 278750
2158 0 1800 368280 0 0 14783 7.66696e+06 0 251311 6.5835e+06 0 0 1.40438e+06 4.859e+07 0 0 0 481536 0 125850 92916.6
2159 0 900 372960 0 0 0 7.80239e+06 0 236528 6.69636e+06 0 0 1.25656e+06 4.92446e+07 0 0 0 511632 0 0 0
2160 0 0 377640 0 0 0 7.77229e+06 0 206962 6.72646e+06 0 0 1.03481e+06 4.99067e+07 0 0 0 519156 0 0 0
2161 0 0 381240 0 0 0 7.96039e+06 0 192179 6.8017e+06 0 0 827848 5.0644e+07 0 0 0 496584 0 0 0
2162 0 0 385200 0 0 0 7.97544e+06 0 177396 6.95218e+06 0 0 635669 5.1261e+07 0 0 0 534204 0 0 0
2163 0 0 388800 0 0 0 8.06573e+06 0 147830 6.9898e+06 0 0 473056 5.19532e+07 0 0 0 579348 0 0 0
2164 0 0 392760 0 0 0 8.20868e+06 0 133047 7.08761e+06 0 0 325226 5.26379e+07 0 0 0 519156 0 0 0
2165 0 0 396720 0 0 0 8.25383e+06 0 118264 7.14028e+06 0 0 192179 5.32323e+07 0 0 0 579348 0 0 0
2166 0 0 400680 0 0 0 8.32154e+06 0 88698 7.31333e+06 0 0 88698 5.3932e+07 0 0 0 571824 0 0 0
2167 0 0 404640 0 0 0 8.4344e+06 0 0 7.41114e+06 0 0 0 5.45039e+07 0 0 0 616968 0 0 0
2168 0 0 408600 0 0 0 8.51717e+06 0 0 7.4939e+06 0 0 0 5.51359e+07 0 0 0 571824 0 0 0
2169 0 0 412920 0 0 0 8.53222e+06 0 0 7.63686e+06 0 0 0 5.56926e+07 0 0 0 601920 0 0 0
2170 0 0 416880 0 0 0 8.74289e+06 0 0 7.67448e+06 0 0 0 5.6287e+07 0 0 0 624492 0 0 0
2171 0 0 421200 0 0 0 8.75794e+06 0 0 7.7422e+06 0 0 0 5.68288e+07 0 0 0 564300 0 0 0
